ID;island
AR06;RA
AR08;RA
AR12;RA
AR13;RA
AR17;RA
AR19;RA
AR20;RA
AR21;RA
AR27;RA
AR30;RA
AR33;RA
AR34;RA
AR37;RA
AR38;RA
AR39;RA
AR40;RA
AR41;RA
AR42;RA
AR43;RA
AR44;RA
AR128;RA
AR130;RA
AR131;RA
AR132;RA
AR133;RA
AR134;RA
AR135;RA
AR158;RA
AR174;RA
AR175;RA
AR176;RA
AR177;RA
AR178;RA
AR179;RA
AR180;RA
AR181;RA
AR182;RA
AR183;RA
AR129;RA
AR45;RA
AR46;RA
AR47;RA
AR48;RA
AR49;RA
AR50;RA
AR51;RA
AR56;RA
AR60;RA
AR61;RA
AR75;RA
AR76;RA
AR77;RA
AR78;RA
AR79;RA
AR80;RA
AR82;RA
AR83;RA
AR84;RA
AR85;RA
AR91;RA
AR86;RA
AR87;RA
AR88;RA
AR89;RA
AR90;RA
AR114;RA
AR115;RA
AR116;RA
AR117;RA
AR118;RA
AR119;RA
AR120;RA
AR121;RA
AR122;RA
AR123;RA
AR124;RA
AR125;RA
AR126;RA
AR127;RA
FN02;FN
FN04;FN
FN05;FN
FN06;FN
FN09;FN
FN10;FN
FN12;FN
FN13;FN
FN14;FN
FN17;FN
FN19;FN
FN20;FN
FN21;FN
FN22;FN
FN23;FN
FN24;FN
FN25;FN
FN26;FN
FN30;FN
FN31;FN
FN32;FN
FN33;FN
FN34;FN
FN35;FN
FN37;FN
FN38;FN
FN39;FN
FN40;FN
FN41;FN
FN43;FN
FN44;FN
FN45;FN
FN46;FN
FN48;FN
FN49;FN
FN50;FN
FN51;FN
FN52;FN
FN53;FN
FN54;FN
FN55;FN
FN56;FN
FN57;FN
FN58;FN
FN59;FN
FN60;FN
FN61;FN
FN62;FN
FN63;FN
FN64;FN
FN65;FN
FN66;FN
FN67;FN
FN68;FN
FN69;FN
FN75;FN
FN82;FN
FN83;FN
FN84;FN
FN85;FN
FN86;FN
FN87;FN
FN88;FN
FN90;FN
FN93;FN
FN94;FN
TR20;TR
TR4;TR
TR6;TR
TR7;TR
TR10;TR
TR11;TR
TR13;TR
TR24;TR
TR26;TR
TR27;TR
TR28;TR
TR30;TR
TR31;TR
TR124;TR
TR125;TR
TR126;TR
TR127;TR
TR128;TR
TR129;TR
TR130;TR
TR131;TR
TR132;TR
TR133;TR
TR134;TR
TR135;TR
TR136;TR
TR137;TR
TR138;TR
TR32;TR
TR43;TR
TR44;TR
TR48;TR
TR50;TR
TR52;TR
TR53;TR
TR59;TR
TR60;TR
TR61;TR
TR62;TR
TR63;TR
TR64;TR
TR65;TR
TR66;TR
TR67;TR
TR68;TR
TR69;TR
TR70;TR
TR71;TR
TR72;TR
TR73;TR
TR74;TR
TR75;TR
TR76;TR
TR77;TR
TR78;TR
TR79;TR
TR80;TR
TR81;TR
TR84;TR
TR85;TR
TR86;TR
TR87;TR
TR88;TR
TR89;TR
TR90;TR
TR92;TR
TR93;TR
TR94;TR
TR95;TR
TR96;TR
TR97;TR
TR99;TR
TR102;TR
TR103;TR
TR104;TR
TR109;TR
TR110;TR
TR111;TR
TR112;TR
TR114;TR
TR115;TR
TR116;TR
TR117;TR
TR120;TR
TR121;TR
TR122;TR
TR123;TR
