id_full;island;id;morph;chela;chela_id
AR_06_HO_left;RA;6;HO;left;one
AR_08_HO_left;RA;8;HO;left;one
AR_12_HO_left;RA;12;HO;left;two
AR_17_HO_left;RA;17;HO;left;one
AR_19_HO_left;RA;19;HO;left;two
AR_27_HO_left;RA;27;HO;left;one
AR_33_HO_left;RA;33;HO;left;one
AR_34_HO_left;RA;34;HO;left;two
AR_37_HO_left;RA;37;HO;left;two
AR_39_HO_left;RA;39;HO;left;two
AR_40_HO_left;RA;40;HO;left;one
AR_41_HO_left;RA;41;HO;left;one
AR_44_HO_left;RA;44;HO;left;two
AR_49_HO_left;RA;49;HO;left;one
AR_56_HO_left;RA;56;HO;left;one
AR_60_HO_left;RA;60;HO;left;one
AR_75_HO_left;RA;75;HO;left;two
AR_77_HO_left;RA;77;HO;left;two
AR_83_HO_left;RA;83;HO;left;two
AR_84_HO_left;RA;84;HO;left;two
AR_06_HO_right;RA;6;HO;right;two
AR_08_HO_right;RA;8;HO;right;two
AR_12_HO_right;RA;12;HO;right;one
AR_17_HO_right;RA;17;HO;right;two
AR_19_HO_right;RA;19;HO;right;one
AR_27_HO_right;RA;27;HO;right;two
AR_33_HO_right;RA;33;HO;right;two
AR_34_HO_right;RA;34;HO;right;one
AR_37_HO_right;RA;37;HO;right;one
AR_39_HO_right;RA;39;HO;right;one
AR_40_HO_right;RA;40;HO;right;two
AR_41_HO_right;RA;41;HO;right;two
AR_44_HO_right;RA;44;HO;right;one
AR_49_HO_right;RA;49;HO;right;two
AR_56_HO_right;RA;56;HO;right;two
AR_60_HO_right;RA;60;HO;right;two
AR_75_HO_right;RA;75;HO;right;one
AR_77_HO_right;RA;77;HO;right;one
AR_83_HO_right;RA;83;HO;right;one
AR_84_HO_right;RA;84;HO;right;one
AR_13_HE_large;RA;13;HE;large;one
AR_20_HE_large;RA;20;HE;large;two
AR_21_HE_large;RA;21;HE;large;two
AR_30_HE_large;RA;30;HE;large;two
AR_38_HE_large;RA;38;HE;large;one
AR_42_HE_large;RA;42;HE;large;one
AR_43_HE_large;RA;43;HE;large;two
AR_45_HE_large;RA;45;HE;large;one
AR_46_HE_large;RA;46;HE;large;one
AR_47_HE_large;RA;47;HE;large;two
AR_48_HE_large;RA;48;HE;large;two
AR_50_HE_large;RA;50;HE;large;two
AR_51_HE_large;RA;51;HE;large;one
AR_61_HE_large;RA;61;HE;large;one
AR_76_HE_large;RA;76;HE;large;one
AR_78_HE_large;RA;78;HE;large;two
AR_79_HE_large;RA;79;HE;large;two
AR_80_HE_large;RA;80;HE;large;two
AR_82_HE_large;RA;82;HE;large;two
AR_85_HE_large;RA;85;HE;large;two
AR_13_HE_small;RA;13;HE;small;two
AR_20_HE_small;RA;20;HE;small;one
AR_21_HE_small;RA;21;HE;small;one
AR_30_HE_small;RA;30;HE;small;one
AR_38_HE_small;RA;38;HE;small;two
AR_42_HE_small;RA;42;HE;small;two
AR_43_HE_small;RA;43;HE;small;one
AR_45_HE_small;RA;45;HE;small;two
AR_46_HE_small;RA;46;HE;small;two
AR_47_HE_small;RA;47;HE;small;one
AR_48_HE_small;RA;48;HE;small;one
AR_50_HE_small;RA;50;HE;small;one
AR_51_HE_small;RA;51;HE;small;two
AR_61_HE_small;RA;61;HE;small;two
AR_76_HE_small;RA;76;HE;small;two
AR_78_HE_small;RA;78;HE;small;one
AR_79_HE_small;RA;79;HE;small;one
AR_80_HE_small;RA;80;HE;small;one
AR_82_HE_small;RA;82;HE;small;one
AR_85_HE_small;RA;85;HE;small;one
AR_86_HE_large;RA;86;HE;large;two
AR_90_HE_large;RA;90;HE;large;one
AR_91_HE_large;RA;91;HE;large;one
AR_114_HE_large;RA;114;HE;large;one
AR_123_HE_large;RA;123;HE;large;one
AR_127_HE_large;RA;127;HE;large;one
AR_125_HE_large;RA;125;HE;large;one
AR_130_HE_large;RA;130;HE;large;one
AR_132_HE_large;RA;132;HE;large;one
AR_133_HE_large;RA;133;HE;large;one
AR_135_HE_large;RA;135;HE;large;two
AR_158_HE_large;RA;158;HE;large;one
AR_174_HE_large;RA;174;HE;large;two
AR_175_HE_large;RA;175;HE;large;two
AR_177_HE_large;RA;177;HE;large;two
AR_178_HE_large;RA;178;HE;large;one
AR_181_HE_large;RA;181;HE;large;two
AR_183_HE_large;RA;183;HE;large;one
AR_86_HE_small;RA;86;HE;small;one
AR_90_HE_small;RA;90;HE;small;two
AR_91_HE_small;RA;91;HE;small;two
AR_114_HE_small;RA;114;HE;small;two
AR_123_HE_small;RA;123;HE;small;two
AR_127_HE_small;RA;127;HE;small;two
AR_125_HE_small;RA;125;HE;small;two
AR_130_HE_small;RA;130;HE;small;two
AR_132_HE_small;RA;132;HE;small;two
AR_133_HE_small;RA;133;HE;small;two
AR_135_HE_small;RA;135;HE;small;one
AR_158_HE_small;RA;158;HE;small;two
AR_174_HE_small;RA;174;HE;small;one
AR_175_HE_small;RA;175;HE;small;one
AR_177_HE_small;RA;177;HE;small;one
AR_178_HE_small;RA;178;HE;small;two
AR_181_HE_small;RA;181;HE;small;one
AR_183_HE_small;RA;183;HE;small;two
AR_87_HO_left;RA;87;HO;left;two
AR_88_HO_left;RA;88;HO;left;one
AR_89_HO_left;RA;89;HO;left;one
AR_118_HO_left;RA;118;HO;left;two
AR_115_HO_left;RA;115;HO;left;two
AR_116_HO_left;RA;116;HO;left;one
AR_117_HO_left;RA;117;HO;left;two
AR_122_HO_left;RA;122;HO;left;one
AR_119_HO_left;RA;119;HO;left;two
AR_120_HO_left;RA;120;HO;left;one
AR_121_HO_left;RA;121;HO;left;one
AR_126_HO_left;RA;126;HO;left;one
AR_124_HO_left;RA;124;HO;left;two
AR_129_HO_left;RA;129;HO;left;one
AR_128_HO_left;RA;128;HO;left;two
AR_131_HO_left;RA;131;HO;left;two
AR_134_HO_left;RA;134;HO;left;one
AR_176_HO_left;RA;176;HO;left;one
AR_180_HO_left;RA;180;HO;left;one
AR_179_HO_left;RA;179;HO;left;one
AR_182_HO_left;RA;182;HO;left;one
AR_87_HO_right;RA;87;HO;right;one
AR_88_HO_right;RA;88;HO;right;two
AR_89_HO_right;RA;89;HO;right;two
AR_118_HO_right;RA;118;HO;right;one
AR_115_HO_right;RA;115;HO;right;one
AR_116_HO_right;RA;116;HO;right;two
AR_117_HO_right;RA;117;HO;right;one
AR_122_HO_right;RA;122;HO;right;two
AR_119_HO_right;RA;119;HO;right;one
AR_120_HO_right;RA;120;HO;right;two
AR_121_HO_right;RA;121;HO;right;two
AR_126_HO_right;RA;126;HO;right;two
AR_124_HO_right;RA;124;HO;right;one
AR_129_HO_right;RA;129;HO;right;two
AR_128_HO_right;RA;128;HO;right;one
AR_131_HO_right;RA;131;HO;right;one
AR_134_HO_right;RA;134;HO;right;two
AR_176_HO_right;RA;176;HO;right;two
AR_180_HO_right;RA;180;HO;right;two
AR_179_HO_right;RA;179;HO;right;two
AR_182_HO_right;RA;182;HO;right;two
FN_04_HE_large;FN;4;HE;large;one
FN_05_HE_large;FN;5;HE;large;two
FN_09_HE_large;FN;9;HE;large;one
FN_10_HE_large;FN;10;HE;large;two
FN_19_HE_large;FN;19;HE;large;two
FN_20_HE_large;FN;20;HE;large;two
FN_21_HE_large;FN;21;HE;large;one
